SUB-REGIONE 2020;FAMILY MEMBER;INTIMATE PARTNER;OTHER PERPETRATOR KNOWN TO THE VICTIM;PERPETRATOR TO VICTIM RELATIONSHIP UNKNOWN;PERPETRATOR UNKNOWN TO THE VICTIM;NON CI SONO DATI SULLA CATEGORIA
NORD AFRICA;32;36;36;7;43;115
AFRICA SUB-SARIANA;0;0;0;0;0;1484
LATINA AMERICA E CARAIBI;184;635;110;6420;145;4016
NORD AMERICA;39;64;39;2;18;2934
ASIA CENTRALE;0;0;0;0;0;317
ASIA EST;2;8;1;24;9;332
SUD-EST ASIATICO;0;0;0;0;0;265
ASIA SUD;1;3;1;0;0;16641
ASIA OVEST;63;3;13;43;0;854
EST EUROPA (+RUSSIA);380;930;770;205;195;195
NORD EUROPA;33;109;26;22;2;32
SUD EUROPA;76;140;16;15;33;52
OVEST EUROPA;172;274;111;74;30;0
AUSTRALIA E NUOVA ZELANDA;0;0;0;0;0;36
MELANESIA;0;0;0;0;0;0
MICRONESIA;0;0;0;0;0;0
POLINESIA;0;0;0;0;0;0
