2020_SUBREGION,FAMILY MEMBER,INTIMATE PARTNER,OTHER PERPETRATOR KNOWN TO THE VICTIM,PERPETRATOR TO VICTIM RELATIONSHIP UNKNOWN,PERPETRATOR UNKNOWN TO THE VICTIM,NON CI SONO DATI SULLA CATEGORIA
NORTHERN AFRICA,32,36,36,7,43,115
SUB-SAHARIAN AFRICA,0,0,0,0,0,1484
LATIN AMERICA AND CARRIBEAN,184,635,110,6420,145,4016
NORTHERN AMERICA,39,64,39,2,18,2934
CENTRAL ASIA,0,0,0,0,0,317
EASTERN ASIA,2,8,1,24,9,332
SOUTH-EASTERN ASIA,0,0,0,0,0,265
SOUTHERN ASIA,1,3,1,0,0,16641
WESTERN ASIA,63,3,13,43,0,854
EASTERN EUROPE,380,930,770,205,195,195
NORTHERN EUROPE,33,109,26,22,2,32
SOUTHERN EUROPE,76,140,16,15,33,52
WESTERN EUROPE,172,274,111,74,30,0
AUSTRALIA AND NEW ZELAND,0,0,0,0,0,36
MELANESIA,0,0,0,0,0,0
MICRONESIA,0,0,0,0,0,0
POLINESIA,0,0,0,0,0,0
